status,lat,lon,max_wind,year,month,day,hour,td
NE,0,0,0,9999,99,99,99,81
TD,16.1,26.9,30,2017,8,30,0,6
TS,16.2,28.3,35,2017,8,30,6,6
TS,16.3,29.7,45,2017,8,30,12,6
TS,16.3,30.8,50,2017,8,30,18,6
TS,16.3,31.7,55,2017,8,31,0,6
HU,16.4,32.5,65,2017,8,31,6,6
HU,16.7,33.4,80,2017,8,31,12,6
HU,17.1,34.2,95,2017,8,31,18,6
HU,17.5,35.1,100,2017,9,1,0,6
HU,17.9,36.1,100,2017,9,1,6,6
HU,18.4,37.3,100,2017,9,1,12,6
HU,18.8,38.5,100,2017,9,1,18,6
HU,19.1,39.7,100,2017,9,2,0,6
HU,19.1,41.1,100,2017,9,2,6,6
HU,18.9,42.6,95,2017,9,2,12,6
HU,18.7,44.1,95,2017,9,2,18,6
HU,18.5,45.5,95,2017,9,3,0,6
HU,18.2,46.7,95,2017,9,3,6,6
HU,17.9,47.9,100,2017,9,3,12,6
HU,17.6,49.2,100,2017,9,3,18,6
HU,17.3,50.4,100,2017,9,4,0,6
HU,17,51.5,105,2017,9,4,6,6
HU,16.8,52.6,110,2017,9,4,12,6
HU,16.7,53.9,115,2017,9,4,18,6
HU,16.6,55.1,125,2017,9,5,0,6
HU,16.6,56.4,135,2017,9,5,6,6
HU,16.7,57.8,150,2017,9,5,12,6
HU,16.9,59.2,155,2017,9,5,18,6
HU,17.3,60.6,155,2017,9,6,0,6
HU,17.7,61.9,155,2017,9,6,6,6
HU,18.1,63.3,155,2017,9,6,12,6
HU,18.6,64.7,150,2017,9,6,18,6
HU,19.2,66.2,150,2017,9,7,0,6
HU,19.7,67.6,145,2017,9,7,6,6
HU,20.2,69,145,2017,9,7,12,6
HU,20.7,70.4,145,2017,9,7,18,6
HU,21.1,71.8,140,2017,9,8,0,6
HU,21.5,73.2,135,2017,9,8,6,6
HU,21.8,74.7,135,2017,9,8,12,6
HU,22,76,140,2017,9,8,18,6
HU,22.1,77.2,145,2017,9,9,0,6
HU,22.4,78.3,130,2017,9,9,6,6
HU,22.7,79.3,110,2017,9,9,12,6
HU,23.1,80.2,95,2017,9,9,18,6
HU,23.4,80.9,100,2017,9,10,0,6
HU,23.7,81.3,115,2017,9,10,6,6
HU,24.5,81.5,115,2017,9,10,12,6
